Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print,109064,http://www.reparteegallery.com/images/variant/large/FA1007267FA.jpg,0,For Unto You Frame A, REP137002,43166,FA1007267FA,149.9500, 37 1/4 X 19 1/4,3/4 X 1 3/4 Clock Mold Black
Giclee Print,109276,http://www.reparteegallery.com/images/variant/large/CH1007281.jpg,1,Advent Calendar,,43370,CH1007281,112.0000,16 X 35,
Giclee Print,109277,http://www.reparteegallery.com/images/variant/large/CH1007281FA.jpg,0,Advent Calendar Frame A, rep129002,43370,CH1007281FA,179.9500, 19 3/4 X 38 3/4,2 Hall Classic Black
Giclee Print,109278,http://www.reparteegallery.com/images/variant/large/CH1007281FB.jpg,0,Advent Calendar Frame B, REP106111,43370,CH1007281FB,199.9500, 20 3/4 X 39 3/4,1 1/4 X 2 1/2 Cappuccino
Giclee Print on Plaque,109286,http://www.reparteegallery.com/images/variant/large/CH1007292.jpg,1,Parent Plaque,,43375,CH1007292,42.9500,8 X 24,
Giclee Print on Plaque,109288,http://www.reparteegallery.com/images/variant/large/CH1007293.jpg,1,Parent Plaque,,43377,CH1007293,29.9500,5 X 15,
Giclee Print on Plaque,109347,http://www.reparteegallery.com/images/variant/large/FA1007339.jpg,1,Broomhilda,,43398,FA1007339,45.0000,8 X 24,
Giclee Print on Plaque,109348,http://www.reparteegallery.com/images/variant/large/FA1007341.jpg,1,Crazy Candalynn,,43400,FA1007341,45.0000,8 X 24,
Giclee Print on Plaque,109349,http://www.reparteegallery.com/images/variant/large/FA1007340.jpg,1,Ghoulia,,43402,FA1007340,45.0000,8 X 24,
Giclee Print on Plaque,109347,http://www.reparteegallery.com/images/variant/large/FA1007339.jpg,1,Broomhilda,,43398,FA1007339,45.0000,8 X 24,
Giclee Print on Plaque,109348,http://www.reparteegallery.com/images/variant/large/FA1007341.jpg,1,Crazy Candalynn,,43400,FA1007341,45.0000,8 X 24,
Giclee Print on Plaque,109349,http://www.reparteegallery.com/images/variant/large/FA1007340.jpg,1,Ghoulia,,43402,FA1007340,45.0000,8 X 24,
Giclee Print on Plaque,109347,http://www.reparteegallery.com/images/variant/large/FA1007339.jpg,1,Broomhilda,,43398,FA1007339,45.0000,8 X 24,
Giclee Print on Plaque,109348,http://www.reparteegallery.com/images/variant/large/FA1007341.jpg,1,Crazy Candalynn,,43400,FA1007341,45.0000,8 X 24,
Giclee Print on Plaque,109349,http://www.reparteegallery.com/images/variant/large/FA1007340.jpg,1,Ghoulia,,43402,FA1007340,45.0000,8 X 24,
