Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print,100856,http://www.reparteegallery.com/images/variant/large/DP500367FB.jpg,0,Be Not Afraid Frame B, REP133111,41616,DP500367FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100857,http://www.reparteegallery.com/images/variant/large/DP500367FC.jpg,0,Be Not Afraid Frame C, REP133115,41616,DP500367FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100858,http://www.reparteegallery.com/images/variant/large/DP500367FD.jpg,0,Be Not Afraid Frame D, REP133118,41616,DP500367FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100839,http://www.reparteegallery.com/images/variant/large/DP500619.jpg,1,Be Not Afraid,,41617,DP500619,34.9500,12 X 18,
Giclee Print,100862,http://www.reparteegallery.com/images/variant/large/DP500619FD.jpg,0,Be Not Afraid Frame D, REP133118,41617,DP500619FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100859,http://www.reparteegallery.com/images/variant/large/DP500619FA.jpg,0,Be Not Afraid Frame A, REP133002,41617,DP500619FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100860,http://www.reparteegallery.com/images/variant/large/DP500619FB.jpg,0,Be Not Afraid Frame B, REP133111,41617,DP500619FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100861,http://www.reparteegallery.com/images/variant/large/DP500619FC.jpg,0,Be Not Afraid Frame C, REP133115,41617,DP500619FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100840,http://www.reparteegallery.com/images/variant/large/DP500772.jpg,1,Be Not Afraid,,41618,DP500772,44.9500,14 X 21,
Giclee Print,100863,http://www.reparteegallery.com/images/variant/large/DP500772FA.jpg,0,Be Not Afraid Frame A, REP140002,41618,DP500772FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100864,http://www.reparteegallery.com/images/variant/large/DP500772FB.jpg,0,Be Not Afraid Frame B, REP140111,41618,DP500772FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100865,http://www.reparteegallery.com/images/variant/large/DP500772FC.jpg,0,Be Not Afraid Frame C, REP140115,41618,DP500772FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100866,http://www.reparteegallery.com/images/variant/large/DP500772FD.jpg,0,Be Not Afraid Frame D, REP140118,41618,DP500772FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100841,http://www.reparteegallery.com/images/variant/large/DP500921.jpg,1,Be Not Afraid,,41619,DP500921,120.0000,20 X 30,
Giclee Print,100899,http://www.reparteegallery.com/images/variant/large/DP500920FA.jpg,0,Be Not Afraid Frame A, REP131002,41619,DP500920FA,379.9500, 42 X 32,1 3/4 X 5 1/4 Classic Black
Giclee Print,100900,http://www.reparteegallery.com/images/variant/large/DP500920FB.jpg,0,Be Not Afraid Frame B, REP131111,41619,DP500920FB,379.9500, 42 X 32,1 3/4 X 5 1/4 Cappuccino
Giclee Print,100901,http://www.reparteegallery.com/images/variant/large/DP500920FC.jpg,0,Be Not Afraid Frame C, REP131115,41619,DP500920FC,379.9500, 42 X 32,1 3/4 X 5 1/4 White
Giclee Print,100902,http://www.reparteegallery.com/images/variant/large/DP500920FD.jpg,0,Be Not Afraid Frame D, REP131118,41619,DP500920FD,379.9500, 42 X 32,1 3/4 X 5 1/4 Vandyke
Giclee Print on Plaque,100843,http://www.reparteegallery.com/images/variant/large/DP500147.jpg,1,Behold Your Little Ones,,41620,DP500147,49.9900,10 X 13,
Giclee Print,100845,http://www.reparteegallery.com/images/variant/large/DP500368.jpg,1,Behold Your Little Ones,,41622,DP500368,24.9500,11 X 14,
Giclee Print,100871,http://www.reparteegallery.com/images/variant/large/DP500368FA.jpg,0,Behold Your Little Ones Frame A, REP133002,41622,DP500368FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100872,http://www.reparteegallery.com/images/variant/large/DP500368FB.jpg,0,Behold Your Little Ones Frame B, REP133111,41622,DP500368FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100873,http://www.reparteegallery.com/images/variant/large/DP500368FC.jpg,0,Behold Your Little Ones Frame C, REP133115,41622,DP500368FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100874,http://www.reparteegallery.com/images/variant/large/DP500368FD.jpg,0,Behold Your Little Ones Frame D, REP133118,41622,DP500368FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100846,http://www.reparteegallery.com/images/variant/large/DP500620.jpg,1,Behold Your Little Ones,,41623,DP500620,34.9500,12 X 18,
Giclee Print,100878,http://www.reparteegallery.com/images/variant/large/DP500620FD.jpg,0,Behold Your Little Ones Frame D, REP133118,41623,DP500620FD,49.9500, 12 X 18,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,100875,http://www.reparteegallery.com/images/variant/large/DP500620FA.jpg,0,Behold Your Little Ones Frame A, REP133002,41623,DP500620FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,100876,http://www.reparteegallery.com/images/variant/large/DP500620FB.jpg,0,Behold Your Little Ones Frame B, REP133111,41623,DP500620FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,100877,http://www.reparteegallery.com/images/variant/large/DP500620FC.jpg,0,Behold Your Little Ones Frame C, REP133115,41623,DP500620FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,100847,http://www.reparteegallery.com/images/variant/large/DP500773.jpg,1,Behold Your Little Ones,,41624,DP500773,44.9500,14 X 21,
Giclee Print,100879,http://www.reparteegallery.com/images/variant/large/DP500773FA.jpg,0,Behold Your Little Ones Frame A, REP140002,41624,DP500773FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,100880,http://www.reparteegallery.com/images/variant/large/DP500773FB.jpg,0,Behold Your Little Ones Frame B, REP140111,41624,DP500773FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,100881,http://www.reparteegallery.com/images/variant/large/DP500773FC.jpg,0,Behold Your Little Ones Frame C, REP140115,41624,DP500773FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,100882,http://www.reparteegallery.com/images/variant/large/DP500773FD.jpg,0,Behold Your Little Ones Frame D, REP140118,41624,DP500773FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,100848,http://www.reparteegallery.com/images/variant/large/DP500921.jpg,1,Behold Your Little Ones,,41625,DP500921,120.0000,20 X 30,
Giclee Print,100867,http://www.reparteegallery.com/images/variant/large/DP500921FA.jpg,0,Behold Your Little Ones Frame A, REP131002,41625,DP500921FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,100868,http://www.reparteegallery.com/images/variant/large/DP500921FB.jpg,0,Behold Your Little Ones Frame B, REP131111,41625,DP500921FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,100869,http://www.reparteegallery.com/images/variant/large/DP500921FC.jpg,0,Behold Your Little Ones Frame C, REP131115,41625,DP500921FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,100870,http://www.reparteegallery.com/images/variant/large/DP500921FD.jpg,0,Behold Your Little Ones Frame D, REP131118,41625,DP500921FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print on Plaque,100849,http://www.reparteegallery.com/images/variant/large/DP500148.jpg,1,Birth Of Jesus,,41626,DP500148,49.9900,10 X 13,
Giclee Print,100850,http://www.reparteegallery.com/images/variant/large/DP500369.jpg,1,Birth Of Jesus,,41628,DP500369,24.9500,11 X 14,
Giclee Print,100883,http://www.reparteegallery.com/images/variant/large/DP500369FA.jpg,0,Birth Of Jesus Frame A, REP133002,41628,DP500369FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
