Medium, VariantID, Image, isDefault, Name, Frames, ProductID, MPN, Price, Dimensions, FrameDescription
Giclee Print,104139,http://www.reparteegallery.com/images/variant/large/CH1006947FA.jpg,0,Draper Hillside Frame A, REP131002,42709,CH1006947FA,389.9500, 48 X 30,1 3/4 X 5 1/4 Classic Black
Giclee Print,104140,http://www.reparteegallery.com/images/variant/large/CH1006947FB.jpg,0,Draper Hillside Frame B, REP131002,42709,CH1006947FB,389.9500, 48 X 30,1 3/4 X 5 1/4 Classic Black
Giclee Print,104141,http://www.reparteegallery.com/images/variant/large/CH1006947FC.jpg,0,Draper Hillside Frame C, REP131115,42709,CH1006947FC,389.9500, 48 X 30,1 3/4 X 5 1/4 White
Giclee Print,104142,http://www.reparteegallery.com/images/variant/large/CH1006947FD.jpg,0,Draper Hillside Frame D, REP131118,42709,CH1006947FD,389.9500, 48 X 30,1 3/4 X 5 1/4 Vandyke
Giclee Print on Plaque,107583,http://www.reparteegallery.com/images/variant/large/CH1006964.jpg,1,Bountiful Aged Color,,42740,CH1006964,49.9500,10 X 13,
Giclee Print,107584,http://www.reparteegallery.com/images/variant/large/CH1006965.jpg,1,Bountiful Aged Color,,42742,CH1006965,24.9500,14 X 11,
Giclee Print,107588,http://www.reparteegallery.com/images/variant/large/CH1006965FA.jpg,0,Bountiful Aged Color Frame A, REP133002,42742,CH1006965FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107589,http://www.reparteegallery.com/images/variant/large/CH1006965FB.jpg,0,Bountiful Aged Color Frame B, REP133111,42742,CH1006965FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107590,http://www.reparteegallery.com/images/variant/large/CH1006965FC.jpg,0,Bountiful Aged Color Frame C, REP133115,42742,CH1006965FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107591,http://www.reparteegallery.com/images/variant/large/CH1006965FD.jpg,0,Bountiful Aged Color Frame D, REP133118,42742,CH1006965FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107585,http://www.reparteegallery.com/images/variant/large/CH1006966.jpg,1,Bountiful Aged Color,,42743,CH1006966,34.9500,18 X 12,
Giclee Print,107592,http://www.reparteegallery.com/images/variant/large/CH1006966FA.jpg,0,Bountiful Aged Color Frame A, REP133002,42743,CH1006966FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107593,http://www.reparteegallery.com/images/variant/large/CH1006966FB.jpg,0,Bountiful Aged Color Frame B, REP133111,42743,CH1006966FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107594,http://www.reparteegallery.com/images/variant/large/CH1006966FC.jpg,0,Bountiful Aged Color Frame C, REP133115,42743,CH1006966FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107595,http://www.reparteegallery.com/images/variant/large/CH1006966FD.jpg,0,Bountiful Aged Color Frame D, REP133118,42743,CH1006966FD,159.9500,19 X 25,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107586,http://www.reparteegallery.com/images/variant/large/CH1006968.jpg,1,Bountiful Aged Color,,42744,CH1006968,120.0000,20 X 30,
Giclee Print,107596,http://www.reparteegallery.com/images/variant/large/CH1006968FA.jpg,0,Bountiful Aged Color Frame A, REP131002,42744,CH1006968FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,107597,http://www.reparteegallery.com/images/variant/large/CH1006968FB.jpg,0,Bountiful Aged Color Frame B, REP131111,42744,CH1006968FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,107598,http://www.reparteegallery.com/images/variant/large/CH1006968FC.jpg,0,Bountiful Aged Color Frame C, REP131115,42744,CH1006968FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,107599,http://www.reparteegallery.com/images/variant/large/CH1006968FD.jpg,0,Bountiful Aged Color Frame D, REP131118,42744,CH1006968FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print,107587,http://www.reparteegallery.com/images/variant/large/CH1006967.jpg,1,Bountiful Aged Color,,42745,CH1006967,44.9500,21 X 14,
Giclee Print,107600,http://www.reparteegallery.com/images/variant/large/CH1006967FA.jpg,0,Bountiful Aged Color Frame A, REP140002,42745,CH1006967FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,107601,http://www.reparteegallery.com/images/variant/large/CH1006967FB.jpg,0,Bountiful Aged Color Frame B, REP140111,42745,CH1006967FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,107602,http://www.reparteegallery.com/images/variant/large/CH1006967FC.jpg,0,Bountiful Aged Color Frame C, REP140115,42745,CH1006967FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,107603,http://www.reparteegallery.com/images/variant/large/CH1006967FD.jpg,0,Bountiful Aged Color Frame D, REP140118,42745,CH1006967FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print on Plaque,107604,http://www.reparteegallery.com/images/variant/large/CH1006969.jpg,1,Draper Aged Color,,42746,CH1006969,49.9500,10 X 13,
Giclee Print,107605,http://www.reparteegallery.com/images/variant/large/CH1006970.jpg,1,Draper Aged Color,,42748,CH1006970,24.9500,11 X 14,
Giclee Print,107611,http://www.reparteegallery.com/images/variant/large/CH1006970FA.jpg,0,Draper Aged Color Frame A, REP133002,42748,CH1006970FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107612,http://www.reparteegallery.com/images/variant/large/CH1006970FB.jpg,0,Draper Aged Color Frame B, REP133111,42748,CH1006970FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107613,http://www.reparteegallery.com/images/variant/large/CH1006970FC.jpg,0,Draper Aged Color Frame C, REP133115,42748,CH1006970FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107614,http://www.reparteegallery.com/images/variant/large/CH1006970FD.jpg,0,Draper Aged Color Frame D, REP133118,42748,CH1006970FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107606,http://www.reparteegallery.com/images/variant/large/CH1006971.jpg,1,Draper Aged Color,,42749,CH1006971,34.9500,12 X 18,
Giclee Print,107615,http://www.reparteegallery.com/images/variant/large/CH1006971FA.jpg,0,Draper Aged Color Frame A, REP133002,42749,CH1006971FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107616,http://www.reparteegallery.com/images/variant/large/CH1006971FB.jpg,0,Draper Aged Color Frame B, REP133111,42749,CH1006971FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107617,http://www.reparteegallery.com/images/variant/large/CH1006971FC.jpg,0,Draper Aged Color Frame C, REP133115,42749,CH1006971FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107618,http://www.reparteegallery.com/images/variant/large/CH1006971FD.jpg,0,Draper Aged Color Frame D, REP133118,42749,CH1006971FD,159.9500,19 X 25,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107607,http://www.reparteegallery.com/images/variant/large/CH1006972.jpg,1,Draper Aged Color,,42750,CH1006972,44.9500,14 X 21,
Giclee Print,107619,http://www.reparteegallery.com/images/variant/large/CH1006972FA.jpg,0,Draper Aged Color Frame A, REP140002,42750,CH1006972FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,107620,http://www.reparteegallery.com/images/variant/large/CH1006972FB.jpg,0,Draper Aged Color Frame B, REP140111,42750,CH1006972FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,107621,http://www.reparteegallery.com/images/variant/large/CH1006972FC.jpg,0,Draper Aged Color Frame C, REP140115,42750,CH1006972FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,107622,http://www.reparteegallery.com/images/variant/large/CH1006972FD.jpg,0,Draper Aged Color Frame D, REP140118,42750,CH1006972FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,107608,http://www.reparteegallery.com/images/variant/large/CH1006973.jpg,1,Draper Aged Color,,42751,CH1006973,120.0000,20 X 30,
Giclee Print,107623,http://www.reparteegallery.com/images/variant/large/CH1006973FA.jpg,0,Draper Aged Color Frame A, REP131002,42751,CH1006973FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,107624,http://www.reparteegallery.com/images/variant/large/CH1006973FB.jpg,0,Draper Aged Color Frame B, REP131111,42751,CH1006973FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,107625,http://www.reparteegallery.com/images/variant/large/CH1006973FC.jpg,0,Draper Aged Color Frame C, REP131115,42751,CH1006973FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,107626,http://www.reparteegallery.com/images/variant/large/CH1006973FD.jpg,0,Draper Aged Color Frame D, REP131118,42751,CH1006973FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
Giclee Print on Plaque,107627,http://www.reparteegallery.com/images/variant/large/CH1006974.jpg,1,Los Angeles Aged Color,,42752,CH1006974,49.9500,10 X 13,
Giclee Print,107628,http://www.reparteegallery.com/images/variant/large/CH1006975.jpg,1,Los Angeles Aged Color,,42754,CH1006975,24.9500,11 X 14,
Giclee Print,107633,http://www.reparteegallery.com/images/variant/large/CH1006975FA.jpg,0,Los Angeles Aged Color Frame A, REP133002,42754,CH1006975FA,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107634,http://www.reparteegallery.com/images/variant/large/CH1006975FB.jpg,0,Los Angeles Aged Color Frame B, REP133111,42754,CH1006975FB,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107635,http://www.reparteegallery.com/images/variant/large/CH1006975FC.jpg,0,Los Angeles Aged Color Frame C, REP133115,42754,CH1006975FC,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107636,http://www.reparteegallery.com/images/variant/large/CH1006975FD.jpg,0,Los Angeles Aged Color Frame D, REP133118,42754,CH1006975FD,124.9500, 17 X 20,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107629,http://www.reparteegallery.com/images/variant/large/CH1006976.jpg,1,Los Angeles Aged Color,,42755,CH1006976,34.9500,12 X 18,
Giclee Print,107637,http://www.reparteegallery.com/images/variant/large/CH1006976FA.jpg,0,Los Angeles Aged Color Frame A, REP133002,42755,CH1006976FA,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish: Classic Black
Giclee Print,107638,http://www.reparteegallery.com/images/variant/large/CH1006976FB.jpg,0,Los Angeles Aged Color Frame B, REP133111,42755,CH1006976FB,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  Cappuccino
Giclee Print,107639,http://www.reparteegallery.com/images/variant/large/CH1006976FC.jpg,0,Los Angeles Aged Color Frame C, REP133115,42755,CH1006976FC,159.9500, 19 X 25,1 1/4 X 3 1/4 Finish:  White
Giclee Print,107640,http://www.reparteegallery.com/images/variant/large/CH1006976FD.jpg,0,Los Angeles Aged Color Frame D, REP133118,42755,CH1006976FD,159.9500,19 X 25,1 1/4 X 3 1/4 Finish:  Vandyke
Giclee Print,107630,http://www.reparteegallery.com/images/variant/large/CH1006977.jpg,1,Los Angeles Aged Color,,42756,CH1006977,44.9500,14 X 21,
Giclee Print,107641,http://www.reparteegallery.com/images/variant/large/CH1006977FA.jpg,0,Los Angeles Aged Color Frame A, REP140002,42756,CH1006977FA,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Classic Black
Giclee Print,107642,http://www.reparteegallery.com/images/variant/large/CH1006977FB.jpg,0,Los Angeles Aged Color Frame B, REP140111,42756,CH1006977FB,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Cappuccino
Giclee Print,107643,http://www.reparteegallery.com/images/variant/large/CH1006977FC.jpg,0,Los Angeles Aged Color Frame C, REP140115,42756,CH1006977FC,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  White
Giclee Print,107644,http://www.reparteegallery.com/images/variant/large/CH1006977FD.jpg,0,Los Angeles Aged Color Frame D, REP140118,42756,CH1006977FD,209.9500, 22 X 29,1 1/4 X 4 1/4 Finish:  Vandyke
Giclee Print,107631,http://www.reparteegallery.com/images/variant/large/CH1006978.jpg,1,Los Angeles Aged Color,,42757,CH1006978,120.0000,20 X 30,
Giclee Print,107645,http://www.reparteegallery.com/images/variant/large/CH1006978FA.jpg,0,Los Angeles Aged Color Frame A, REP131002,42757,CH1006978FA,379.9500, 32 X 42,1 3/4 X 5 1/4 Classic Black
Giclee Print,107646,http://www.reparteegallery.com/images/variant/large/CH1006978FB.jpg,0,Los Angeles Aged Color Frame B, REP131111,42757,CH1006978FB,379.9500, 32 X 42,1 3/4 X 5 1/4 Cappuccino
Giclee Print,107647,http://www.reparteegallery.com/images/variant/large/CH1006978FC.jpg,0,Los Angeles Aged Color Frame C, REP131115,42757,CH1006978FC,379.9500, 32 X 42,1 3/4 X 5 1/4 White
Giclee Print,107648,http://www.reparteegallery.com/images/variant/large/CH1006978FD.jpg,0,Los Angeles Aged Color Frame D, REP131118,42757,CH1006978FD,379.9500, 32 X 42,1 3/4 X 5 1/4 Vandyke
